location,name,address,ispotable,available,created_at,photo,description,watersourcetype
"{""latitude"": 40.7558925342797, ""longitude"": 0.2573355786330548}",FONT DE LA RABOSA 43044-0040,"Pista Del Barranc De La Carrasca, 43560 La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA RABOSA del SÉNIA, LA de la Montsià, es Xúquer SÉNIA, RIU DE LA , Ports de Beseit (CHX)_Cat",publico
"{""latitude"": 40.75581094869622, ""longitude"": 0.163664100099125}",FONT DEL RACÓ 44037-0025,"44588, Beceite, Teruel, Spain",,,2024-05-11 16:26:21,,"FONT DEL RACÓ del BECEITE de la nan, es Ebre EBRE, L' , Ports de Tortosa",publico
"{""latitude"": 40.75650777907626, ""longitude"": 0.1700306189669012}",FONTETES DEL RACÓ 44037-0026,"44588, Beceite, Teruel, Spain",,,2024-05-11 16:26:21,,"FONTETES DEL RACÓ del BECEITE de la nan, es Ebre EBRE, L' , Ports de Tortosa",publico
"{""latitude"": 40.74180173560325, ""longitude"": 0.1717795091992779}",FONT D'ARCOS 43044-0063,"43560, La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT D'ARCOS del SÉNIA, LA de la Montsià, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.79941758736582, ""longitude"": 0.1715262382309981}",FONT DE RICARDO 44037-0023,"Camino De Formenta, 44588 Beceite, Teruel, Spain",,,2024-05-11 16:26:21,,"FONT DE RICARDO del BECEITE de la nan, es Ebre EBRE, L' , Ports de Tortosa",publico
"{""latitude"": 40.73875221136684, ""longitude"": 0.1775619482291711}",FONT FREDA 43044-0038,"43560, La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT FREDA del SÉNIA, LA de la Montsià, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.75762208928365, ""longitude"": 0.1787485880724388}",FONT DE FALGARS 44037-0027,"44588, Beceite, Teruel, Spain",,,2024-05-11 16:26:21,,"FONT DE FALGARS del BECEITE de la nan, es Ebre EBRE, L' , Ports de Tortosa",publico
"{""latitude"": 40.7414084633166, ""longitude"": 0.1803639148659748}",FONT I POUET D'EN ROBERT 43044-0061,"Pista De Beseit A Fredes, 43560 La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT I POUET D'EN ROBERT del SÉNIA, LA de la Montsià, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.7795995402808, ""longitude"": 0.1787661078398382}",FONT DE PLATERO 44037-0024,"44588, Beceite, Teruel, Spain",,,2024-05-11 16:26:21,,"FONT DE PLATERO del BECEITE de la nan, es Ebre EBRE, L' , Ports de Tortosa",publico
"{""latitude"": 40.82889121853486, ""longitude"": 0.1790004527290881}",FONT DEL TIET DE MATACROC 44037-0006,"Polígono Industrial Noguera 1d, 44588 Beceite, Teruel, Spain",,,2024-05-11 16:26:21,,"FONT DEL TIET DE MATACROC del BECEITE de la nan, es Ebre EBRE, L' , nan",publico
"{""latitude"": 40.82800891463602, ""longitude"": 0.1838045920727417}",FONT DE LA RABOSA 44037-0007,"Calle De Las Afueras 28, 44588 Beceite, Teruel, Spain",,,2024-05-11 16:26:21,,"FONT DE LA RABOSA del BECEITE de la nan, es Ebre EBRE, L' , nan",publico
"{""latitude"": 40.80935330529916, ""longitude"": 0.1851868043435995}",FONT DEL RASADELL 44037-0010,"Camí Del Parrissal, 44588 Beceite, Teruel, Spain",,,2024-05-11 16:26:21,,"FONT DEL RASADELL del BECEITE de la nan, es Ebre EBRE, L' , Ports de Tortosa",publico
